segment_id,segment_name,priority_level,daily_social_media_hours,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,stress_level,anxiety_level,addiction_level,high_anxiety_risk,cantidad_estudiantes,segment_description
0,Bajo riesgo,Baja,3.28,7.62,1.85,2.88,1.0,4.01,2.83,3.63,0.04,166,Estudiantes con menor proporción de riesgo alto de ansiedad y hábitos relativamente más favorables.
1,Riesgo medio,Media,6.18,6.29,2.14,3.19,1.03,5.92,3.71,7.79,0.13,198,Estudiantes con señales intermedias de riesgo que podrían beneficiarse de acciones preventivas generales.
2,Riesgo alto,Alta,4.6,5.38,1.39,3.44,0.61,5.55,5.06,3.25,0.31,157,"Estudiantes con mayor proporción de riesgo alto de ansiedad, por lo que representan el grupo de mayor prioridad preventiva."
